2026-09-21 23:04:27,907 - INFO - Test started
2026-09-21 23:04:27,907 - WARNING - This is a warning
2026-09-21 23:04:27,907 - ERROR - This is an error
2026-09-21 23:04:27,907 - CRITICAL - This is a critical message
2026-09-21 23:07:53,457 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:07:53,605 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:07:53,788 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:07:53,944 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:07:54,033 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:07:54,092 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:07:54,172 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:07:54,209 - INFO - Clicking element: ('id', 'checkout')
2026-09-21 23:07:54,289 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:07:54,346 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:07:54,397 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:07:54,450 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:07:54,525 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:07:54,547 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:07:54,563 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:07:54,621 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-21 23:14:43,529 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:14:43,716 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:14:43,829 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:14:43,990 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:14:44,131 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:14:44,259 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:14:44,396 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:14:44,437 - INFO - Clicking element: ('id', 'checkout')
2026-09-21 23:14:44,567 - INFO - Entering text into: ('id', 'first-name')
2026-09-21 23:14:44,683 - INFO - Entering text into: ('id', 'last-name')
2026-09-21 23:14:44,783 - INFO - Entering text into: ('id', 'postal-code')
2026-09-21 23:14:44,888 - INFO - Clicking element: ('id', 'continue')
2026-09-21 23:14:45,012 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:14:45,055 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:14:45,089 - INFO - Clicking element: ('id', 'finish')
2026-09-21 23:14:45,200 - INFO - Getting text from: ('class name', 'complete-header')
2026-09-21 23:19:42,328 - INFO - Entering text into: ('id', 'user-name')
2026-09-21 23:19:42,506 - INFO - Entering text into: ('id', 'password')
2026-09-21 23:19:42,575 - INFO - Clicking element: ('id', 'login-button')
2026-09-21 23:19:42,683 - INFO - Getting text from: ('class name', 'title')
2026-09-21 23:19:42,783 - INFO - Clicking element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-09-21 23:19:42,863 - INFO - Clicking element: ('class name', 'shopping_cart_link')
2026-09-21 23:19:42,977 - INFO - Getting text from: ('class name', 'inventory_item_name')
2026-09-21 23:19:43,004 - INFO - Clicking element: ('id', 'checkout')
